ID,Mental Health Msures,Sleep/fatigue,Aggression/conflict/irritation,Anxiety/OCD/Fear,Depression,Loneliness,Substance abuse,Psychotic Disorders,Worry/Stress/Trauma/Distress/Burnout/PTSD/Concern,Coping/Resilience/Self-esteem,Wellbeing/mental health/emotional issues/mood and feeling,"Behavioural symptoms (e.g., impulsive actions)",Grief related trauma,Technology addiction,Eating Disorder/body dysmorphia/physical activity,Suicidal Ideation/attempt/self-harm,Other (e.g. Dissociative syptoms)
242,Attendance in ED for suicide attempt or ideation,,,,,,,,,,,,,,,BP,
324,Records of suicide attempt by toxic poisoning,,,,,,,,,,,,,,,BP,
28,"Behaviour Risk Factor Surveillance System (delays in accessing services for mental health or addiction); Centre for Epidemiological Studies Depression Scale; suicidal ideation, mental health diagnosis (15 options); frequency of substance abuse.",,,,CESD,,II,,,,,,,,,CESD,
229,"Composite International Diagnostic Interview Screening Scales; Alcohol Use Disorders identification Test, Self-Injurious Thoughts and Behaviors Interview, Columbi-Sucidie Severity Rating Scale",,,,,,CIDI-SSS,,,,,,,,,CIDI-SS; CSSR-RS,
267,"Insomnia Severity Index, DASS-21, GHQ-12, Obsessive-Compulsive Inventory-Revised version, Suicidal Ideation Attributes Scale, Severity-of-Acute-Stress-Symptoms-Adult scale, Impact of Event Scale-short version, Connor-Davidson resilience scale, brief-COPE, Post-Trumatic Growth inventory, Multidimensional Scale of Perceived Social Support, Maslach Burnout Inventory",ISI,,OCI,DASS-21,,,,IES-SF; SASS-AS; PTGI; MBIHSS,CDRS; BCI,,,,,,IAS,
97,"PHQ-9, GAD-7, items about frequency of substance abuse, self-injury and suicidal ideation. ",,,GAD-7,PHQ-9,,II,,,,,,,,,II,
155,"Items about '11 crisis concerns' (e.g., depression, anxiety/stress, suicidal thoughts, isolation, abuse, bereavement, relationships, suicidal ideation",,,II,II,,,,II,,,,,,,II,
188,"Have you ever had suicidal ideation during COVID-19 pandemic lockdown?' item yes/no response. Same for depression, anxiety and emotional emptiness.Only SI was compared by gender.",,,,,,,,,,,,,,,II,
281,"Items asking about behaviour including 'negative coping' including alcohol and drug use, eating more/less, cutting or self harm 6-pt scale. 'Positive coping' including exercise, enough sleep, mental/physical healthcare provider connecting. Summed to 0-6pt scale both.",II,,,,,II,,,II,,,,,II; II,II,
300,Items about diagnosis pre/post pandemic,,,,,,,,,,,,,,,II,
204,"DASS-21, Negative SI subscale of the Positive and Negative Suicide Ideation Scale (PANSI); COVID-19 Family Stress Screener",,,,DASS-21,,,,C-FSS,,,,,,,PANSI,
1,PSQI  ,PSQI,,,,,,,,,,,,,,,
2,Brief Aggression Quesionnaire; Generalised Anxiety Disorder scale version 7; Patient Health Questionnaire (depression),,BAQ,GAD-7,PHQ-4,,,,,,,,,,,,
3,PHQ-4 depression & anxiety aggregated to score out of 12; loneliness items,,,,PHQ-4,II,,,,,,,,,,,
